system:index,GNDVI,NDRE,NDVI,SAVI,Season,.geo
0,0.46108828867114454,0.2922266383952088,0.4455214128565156,0.6681642113406177,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.45804656134639227,0.28404172370053404,0.45629220197889525,0.6843404251632293,Pre-monsoon,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5805399765385427,0.4333780172915648,0.6689146849882593,1.003244741196615,Monsoon,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5116863966222334,0.33422742350368145,0.5279225216067449,0.7917504047384287,Post-monsoon,"{""type"":""MultiPoint"",""coordinates"":[]}"
